,Actual,actual_ranks,SVR_pre,SVR_ranks,MLP_pre,MLP_ranks,DT_pre,DT_ranks,HGBR_pre,HGBR_ranks,GBR_pre,GBR_ranks,RF_pre,RF_ranks
0,247.0780490239172,39,95.53698235814369,34,165.46362042765455,38,232.0064673833333,37,192.13934693289616,38,203.1074561065887,38,209.61240629051542,38
1,1.8736988277794149,13,101.57736405866382,35,11.09906162912459,16,2.5053039741428575,9,-9.685130752037201,5,-7.592047490801369,2,8.678260000731358,13
2,1.4454857776796322,9,49.45860747580963,19,28.208088907486463,24,0.5878968153333334,0,2.989334805080671,11,-2.0094143876352417,5,12.262035377181233,16
3,59.563902979877696,29,85.93114430080249,32,124.1733216385436,33,65.74510626571428,28,102.04677254365622,29,105.8563010906347,30,113.71450964406965,28
4,18.042789655113495,22,41.50832250265245,16,157.63355549667597,36,192.76426274999997,35,174.5070853106804,37,140.08638316166903,34,138.665745365638,35
5,7.324466648016061,20,-2.8427358086015637,3,19.071522366503295,19,64.00244151666668,26,29.308964593051776,21,33.91529154234715,23,34.50097671330425,22
6,23.486081011877218,25,26.705371743706504,14,20.7992491829632,21,189.14954172400002,34,91.19666935917736,27,99.42111669971631,28,119.60204329228245,30
7,64.14746721736066,32,68.27058605346025,23,113.48049209128656,31,65.74510626571428,27,83.80162219635443,25,99.60424215729383,29,103.50616267878252,26
8,223.71288675854206,38,158.7360019759323,39,262.6651869961675,39,372.19652063333336,39,257.52141286459124,39,261.47669133631047,39,302.03910647261966,39
9,1.648522740627477,10,46.26584890146819,18,20.40039965808304,20,14.653164009666668,20,30.171121391800767,23,21.176958142927518,18,35.84032217253461,23
10,100.97281757644006,35,107.4334273002143,36,98.70807394606099,29,43.112410674,24,155.2398905644704,36,147.59506611292522,37,134.44913406069256,33
11,27.96469831528425,26,6.913082926763703,8,25.62199612655047,23,40.65610745,23,44.16866690647119,24,39.70928381218102,24,50.760873189019776,24
12,86.70420573114454,33,78.79749800551355,28,125.80879910963401,34,152.8457615,33,111.11831891066096,30,114.17148407272464,31,113.85959025265996,29
13,63.3040797950324,31,69.5131871961317,24,63.82543511565558,26,73.43171392428572,30,88.8156066780621,26,88.2656137755218,26,120.89470220337583,31
14,147.6980425618178,36,86.2836855616751,33,117.33257613386152,32,79.75021509,31,126.98738257304144,32,144.37273747293182,36,125.52277700352843,32
15,16.68251078067099,21,76.64950429703975,25,165.1965602825305,37,223.88668653333332,36,147.10588277248766,35,142.15036511551918,35,150.51195889948843,37
16,37.261824155607336,27,107.88726906405452,37,88.28639254254443,28,249.3795686,38,135.808180875409,34,136.7064349385062,33,145.40148870207594,36
17,6.812065918274528,19,111.31385466018907,38,35.591101028624294,25,5.9811760524999995,15,26.76071076118451,20,21.51092274278759,19,25.01628628118063,20
18,46.49597494331555,28,44.0654000668398,17,79.47374519453945,27,65.74510626571428,29,92.45734647763769,28,84.43335313976141,25,113.31423698973863,27
19,2.9808995584672053,17,50.158953222762136,21,7.3586101386819385,9,3.7549306841666663,13,-12.076713883681153,2,6.910434086245575,12,7.802228967477002,12
20,1.8550812642854313,12,10.570892030943181,11,6.6515517417548295,6,6.057275978,16,3.6341496810328984,13,6.370390879146303,11,7.688511492500391,11
21,2.4979433264140307,16,49.97859597406972,20,6.503282549081814,5,16.16323714525,21,-0.7040274127406377,8,5.153575707817885,10,8.700930554919381,14
22,3.4379354959375434,18,-1.9848271733446303,4,8.62240687831265,13,7.048854634166667,18,4.613388579098262,14,4.248054962002606,9,6.085733430101988,10
23,1.995215949507049,14,11.242143722646968,12,11.078990298289723,15,7.885486360000001,19,14.387622573091884,17,22.802614314014857,20,4.1192800192566725,6
24,0.9091967390907117,7,7.515129425397671,9,11.470044421883967,17,1.5278467695,6,0.3265818209403292,10,4.0233476186314165,8,15.2733600229421,18
25,0.9142177117652086,8,3.036457761339701,6,6.355916005559061,4,7.048854634166667,17,-0.23951205954407334,9,-8.810579156501726,1,2.2403129204813963,3
26,21.884401140454546,23,0.5335579451642012,5,8.6205897341247,12,3.7549306841666663,12,4.624412318782336,15,-9.02923296961022,0,4.444719102611455,8
27,99.20425774259738,34,80.0344137107125,31,24.651442529513716,22,113.19487254333335,32,-0.930624236175436,7,13.10681857620741,16,27.67033745001657,21
28,195.8452929103397,37,77.14424260210654,26,144.23985763052707,35,48.9180255945,25,124.5445180668713,31,131.3204440254085,32,60.151373522648015,25
29,0.09232746546688005,2,-7.537912439506105,2,9.635606785813069,14,0.601303768,2,-10.109298549278465,4,-2.1517304557327948,4,0.879288527993325,0
30,21.95042676447871,24,79.96901430963754,30,6.801562336288444,8,4.0727400385,14,3.019752274051446,12,10.69254846033715,14,20.79091093374784,19
31,61.1880238067209,30,79.26267754974054,29,106.63388877256655,30,33.74414594271428,22,129.98279012811628,33,89.39673708496896,27,134.91864995575034,34
32,2.1733236488503187,15,10.04864115581739,10,12.266128363615506,18,2.5053039741428575,11,-6.175032424415321,6,7.403157468829984,13,9.406913654800658,15
33,0.1251993298944825,3,5.166111239507639,7,4.408922568768174,0,0.8367975752500001,3,-11.072539145809401,3,-4.731648620143623,3,3.750354812417636,5
34,0.05778541243560594,1,-14.972461460254582,1,7.946553474205278,11,1.7258430745714288,8,-21.56835786952731,0,1.025942570730571,7,1.140054352923381,1
35,0.160994469470571,4,54.3285270757828,22,6.71792801090572,7,0.90188282575,5,-21.182121824350098,1,-0.9366314524339925,6,2.4519617855737694,4
36,0.040470882435039005,0,-35.13614036853727,0,7.586937911821611,10,0.601303768,1,25.503377659402332,19,23.357091111775926,21,1.386449737096341,2
37,1.77720646422555,11,78.14908248984392,27,6.0067788916085405,3,2.5053039741428575,10,16.3367199916321,18,12.086878856194366,15,5.163690789787952,9
38,0.7372727390544082,6,25.510583731708888,13,5.117557900372631,1,0.8367975752500001,4,29.470492719085435,22,32.57572705318641,22,12.663321801896702,17
39,0.6232538262054795,5,37.278643107971504,15,5.131568882929989,2,1.63803906575,7,10.8204339306465,16,14.385035110228971,17,4.1335110871225496,7
